"名称","所在地","電話番号","緯度","経度"
"御成門小学校","東京都港区芝公園三丁目2番4号","03-3431-2766","35.661084","139.749586"
"芝小学校","東京都港区芝二丁目21番3号","03-3456-3072","35.651349","139.750176"
"赤羽小学校","東京都港区三田一丁目4番52号","03-3451-1988","35.653347","139.742537"
"芝浦小学校","東京都港区芝浦四丁目8番18号","03-3451-4992","35.638203","139.746255"
"芝浜小学校","東京都港区芝浦一丁目16番31号","03-3769-3051","35.645975","139.751472"
"御田小学校","東京都港区三田四丁目11番38号","03-3451-3997","35.643277","139.738031"
"高輪台小学校","東京都港区高輪二丁目8番24号","03-5447-0616","35.63642","139.734367"
"白金小学校","東京都港区白金台一丁目4番26号","03-3441-5407","35.636912","139.728568"
"白金の丘学園　白金の丘小学校","東京都港区白金四丁目1番12号","03-3441-5363","35.6437","139.726835"
"港南小学校","東京都港区港南四丁目3番28号","03-3474-1501","35.629326","139.749618"
"麻布小学校","東京都港区麻布台一丁目5番15号","03-3583-0014","35.662043","139.738551"
"南山小学校","東京都港区元麻布三丁目8番15号","03-3403-5773","35.657344","139.731122"
"本村小学校","東京都港区南麻布三丁目9番33号","03-3473-1462","35.64993","139.729979"
"笄小学校","東京都港区西麻布三丁目11番16号","03-3404-1530","35.656564","139.72491"
"東町小学校","東京都港区南麻布一丁目8番11号","03-3451-7726","35.650937","139.735848"
"赤坂小学校","東京都港区赤坂八丁目13番29号","03-3404-8602","35.669408","139.73102"
"青山小学校","東京都港区南青山二丁目21番2号","03-3403-5588","35.669901","139.719009"
"青南小学校","東京都港区南青山四丁目21番15号","03-3404-8608","35.663616","139.716123"
"お台場学園　港陽小学校","東京都港区台場一丁目1番5号","03-5500-2572","35.633708","139.777116"

"小学校","Ver202204",,,
