名称,所在地,緯度,経度,電話
栄町児童館学童クラブ,練馬区栄町40-7,35.73946558,139.6712021,03-3994-3287
中村児童館学童クラブ,練馬区中村2-25-3,35.73170206,139.6423311,03-3998-4890
春日町児童館学童クラブ,練馬区春日町2-28-3,35.75702582,139.6460816,03-3998-8799
北町児童館学童クラブ,練馬区北町1-19-17,35.76398688,139.6678758,03-3931-5481
土支田児童館学童クラブ,練馬区土支田2-32-8,35.76351239,139.61345,03-3925-4784
南田中児童館学童クラブ,練馬区南田中5-15-25,35.73790549,139.6113416,03-3995-5534
三原台児童館学童クラブ,練馬区三原台2-11-29,35.75718826,139.6061627,03-3924-8796
石神井児童館学童クラブ,練馬区石神井町7-28-21,35.74466231,139.5979856,03-3996-3800
石神井台児童館学童クラブ,練馬区石神井台2-18-13,35.73557649,139.5896461,03-3995-8267
上石神井児童館学童クラブ,練馬区上石神井1-5-2,35.72564649,139.5922158,03-3929-0999
関町児童館学童クラブ,練馬区関町南4-15-7-102,35.72277353,139.5722789,03-3920-1601
東大泉児童館学童クラブ,練馬区東大泉7-20-1,35.74245826,139.5772234,03-3921-8100
厚生文化会館学童クラブ,練馬区練馬4-2-3,35.7402444,139.6500114,03-3991-3080
豊玉北地区区民館学童クラブ,練馬区豊玉北3-7-9,35.73256012,139.6613705,03-3948-3061
桜台地区区民館学童クラブ,練馬区桜台3-39-17,35.74579933,139.6631528,03-3993-5461
貫井地区区民館学童クラブ,練馬区貫井1-9-1,35.73802885,139.6353891,03-3926-7218
氷川台地区区民館学童クラブ,練馬区氷川台2-16-14,35.75698778,139.6671208,03-3932-2065
高松地区区民館学童クラブ,練馬区高松3-24-27,35.75109251,139.6236108,03-3999-7911
北町第二地区区民館学童クラブ,練馬区北町6-24-101,35.76106229,139.6554647,03-3931-1276
田柄地区区民館学童クラブ,練馬区田柄3-28-13,35.76209764,139.6373984,03-3926-4933
下石神井地区区民館学童クラブ,練馬区下石神井6-8-15,35.73363456,139.6034639,03-3904-5061
関町北地区区民館学童クラブ,練馬区関町北4-12-21,35.72980382,139.5772402,03-3594-2604
東大泉地区区民館学童クラブ,練馬区東大泉3-53-1,35.75599772,139.5877582,03-3921-8299
西大泉地区区民館学童クラブ,練馬区西大泉5-3-32,35.76004302,139.5723496,03-3921-6494
北大泉地区区民館学童クラブ,練馬区大泉町2-41-26,35.76473384,139.6041915,03-3978-0324
大泉学園地区区民館学童クラブ,練馬区大泉学園町8-9-5,35.77277871,139.5926951,03-3922-4101
中村児童館第二学童クラブ,練馬区中村2-25-3,35.73170504,139.6421654,03-3998-4890
平和台児童館学童クラブ,練馬区平和台2-18-14,35.76007536,139.6613323,03-3550-8058
東大泉児童館第二学童クラブ,練馬区東大泉7-20-1,35.74245954,139.5774008,03-3921-8100
