施設名,施設名（英語）,郵便番号,住所,緯度,経度,電話番号,カテゴリ,開館時刻,閉館時刻,休館日,説明（日本語）,説明（英語）
大塚児童館,Otsuka Children’s Hall,112-0012,東京都文京区大塚６丁目２２番地１９号,35.724635,139.725646,03-3943-1632,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
しおみ児童館,Shiomi Children’s Hall,113-0022,東京都文京区千駄木２丁目２７番地８号,35.724935,139.761908,03-3827-9129,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
千石児童館,Sengoku Children’s Hall,112-0011,東京都文京区千石１丁目４番地３号,35.724815,139.743264,03-3947-9221,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
水道児童館,Suido Children’s Hall,112-0005,東京都文京区水道１丁目３番地２６号,35.709567,139.742295,03-3812-2238,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
本駒込児童館,Honkomagome Children’s Hall,113-0021,東京都文京区本駒込５丁目６３番地２号,35.733842,139.752437,03-3822-3791,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
本駒込南児童館,Honkomagome-Minami Children’s Hall,113-0021,東京都文京区本駒込３丁目１１番地１４号,35.727715,139.755128,03-3823-3253,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
久堅児童館,Hisakata Children’s Hall,112-0002,東京都文京区小石川５丁目２７番地７号,35.718614,139.741553,03-3815-7715,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
柳町児童館,Yanagicho Children’s Hall,112-0002,東京都文京区小石川１丁目２３番地９号,35.713709,139.750506,03-3811-9213,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
千石西児童館,Sengoku-Nishi Children’s Hall,112-0011,東京都文京区千石３丁目１５番地１５号,35.724914,139.738226,03-3944-2865,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
小日向台町児童館,Kohinata-daimachi Children’s Hall,112-0006,東京都文京区小日向２丁目２番地２号,35.712998,139.734867,03-3941-1740,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
目白台児童館,Mejirodai Children’s Hall,112-0015,東京都文京区目白台１丁目５番地１号,35.713831,139.720661,03-3941-8837,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
湯島児童館,Yushima Children’s Hall,113-0033,東京都文京区本郷３丁目１０番地１８号,35.704012,139.763646,03-3814-9247,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
白山東児童館,Hakusan-Higashi Children’s Hall,113-0001,東京都文京区白山１丁目２９番地１０号,35.719136,139.753069,03-3813-6501,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
根津児童館,Nezu Children’s Hall,113-0031,東京都文京区根津１丁目１４番地３号,35.718439,139.763222,03-3824-6466,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
目白台第二児童館,Mejirodai Daini Children’s Hal,112-0015,東京都文京区目白台３丁目１８番地７号,35.717258,139.723396,03-3943-9337,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
本郷児童館,Hongo Children’s Hall,113-0033,東京都文京区本郷５丁目３０番地８号,35.711666,139.758275,03-5689-4570,児童館,10:00,18:00（土曜日は17:00）,日曜日、国民の祝日、年末年始及びその他区長が臨時に定めた日,,
