No.,施設名,施設名（英語）,郵便番号,住所,緯度,経度,電話番号,カテゴリ,説明（日本語）,説明（英語）
1,第一中学校,Daiichi Junior High School,112-0002,東京都文京区小石川5丁目 8番 9号,35.718013,139.738682,03-3811-7271,区立中学校,,
2,第三中学校,Daisan Junior High School,112-0003,東京都文京区春日1丁目 9番31号,35.709151,139.746671,03-3814-2544,区立中学校,,
3,第六中学校,Dairoku Junior High School,113-0023,東京都文京区向丘1丁目2番 2号,35.717074,139.757726,03-3814-6666,区立中学校,,
4,第八中学校,Daihachi Junior High School,113-0022,東京都文京区千駄木2丁目19番22号,35.724322,139.761015,03-3821-7128,区立中学校,,
5,第九中学校,Daiku Junior High School,113-0021,東京都文京区本駒込3丁目28番 9号,35.729654,139.75278,03-3821-7178,区立中学校,,
6,第十中学校,Daiju Junior High School,112-0011,東京都文京区千石2丁目40番17号,35.723516,139.742538,03-3944-0371,区立中学校,,
7,文林中学校,Bunrin Junior High School,113-0022,東京都文京区千駄木5丁目25番10号,35.728052,139.758572,03-3827-7671,区立中学校,,
8,茗台中学校,Meidai Junior High School,112-0003,東京都文京区春日2丁目 9番 5号,35.713539,139.741205,03-3811-2969,区立中学校,,
9,本郷台中学校,Hongodai Junior High School,113-0033,東京都文京区本郷2丁目38番23号,35.706951,139.758938,03-3811-2571,区立中学校,,
10,音羽中学校,Otowa Junior High School,112-0012,東京都文京区大塚1丁目 9番24号,35.717217,139.73279,03-3947-2771,区立中学校,,
