No.,施設名,施設名（英語）,郵便番号,住所,緯度,経度,電話番号,カテゴリ,説明（日本語）,説明（英語）
1,礫川小学校,Rekisen Elementary School,112-0002,東京都文京区小石川2丁目13番 2号,35.710834,139.747575,03-3811-7276,区立小学校,,
2,柳町小学校,Yanagicho Elementary School,112-0002,東京都文京区小石川1丁目23番16号,35.714459,139.750138,03-3811-0068,区立小学校,,
3,指ヶ谷小学校,Sasugaya Elementary School,112-0001,東京都文京区白山2丁目28番 4号,35.717306,139.750767,03-3811-6005,区立小学校,,
4,林町小学校,Hayashicho Elementary School,112-0011,東京都文京区千石2丁目36番 3号,35.724322,139.742248,03-3946-0421,区立小学校,,
5,明化小学校,Meika Elementary School,112-0011,東京都文京区千石1丁目13番 9号,35.724833,139.744881,03-3944-0366,区立小学校,,
6,青柳小学校,Aoyagi Elementary School,112-0012,東京都文京区大塚5丁目40番18号,35.720417,139.725097,03-3947-2471,区立小学校,,
7,関口台町小学校,Sekiguchi-daimachi Elementary School,112-0014,東京都文京区関口2丁目 6番 1号,35.711867,139.726757,03-3947-2631,区立小学校,,
8,小日向台町小学校,Kohinata-daimachi Elementary School,112-0006,東京都文京区小日向2丁目 3番 8号,35.713213,139.735631,03-3947-2371,区立小学校,,
9,金富小学校,Kanatomi Elementary School,112-0003,東京都文京区春日2丁目 6番15号,35.710831,139.741619,03-3811-0066,区立小学校,,
10,窪町小学校,Kubomachi Elementary School,112-0012,東京都文京区大塚3丁目2番 3号,35.718877,139.735629,03-3946-8261,区立小学校,,
11,大塚小学校,Otsuka Elementary School,112-0012,東京都文京区大塚4丁目 1番 7号,35.723729,139.73638,03-3946-3421,区立小学校,,
12,湯島小学校,Yushima Elementary School,113-0034,東京都文京区湯島2丁目28番14号,35.706572,139.766568,03-3813-6061,区立小学校,,
13,誠之小学校,Seishi Elementary School,113-0024,東京都文京区西片2丁目14番 6号,35.717943,139.754029,03-3811-7171,区立小学校,,
14,根津小学校,Nezu Elementary School,113-0031,東京都文京区根津1丁目14番 3号,35.718439,139.763222,03-3822-4731,区立小学校,,
15,千駄木小学校,Sendagi Elementary School,113-0022,東京都文京区千駄木5丁目44番 2号,35.72914,139.758951,03-3821-7168,区立小学校,,
16,汐見小学校,Shiomi Elementary School,113-0022,東京都文京区千駄木2丁目19番23号,35.723733,139.760914,03-3827-7566,区立小学校,,
17,昭和小学校,Showa Elementary School,113-0021,東京都文京区本駒込2丁目28番31号,35.731554,139.749485,03-3944-0471,区立小学校,,
18,駒本小学校,Komamoto Elementary School,113-0023,東京都文京区向丘2丁目37番 5号,35.724618,139.754577,03-3827-5451,区立小学校,,
19,駕籠町小学校,Kagomachi Elementary School,113-0021,東京都文京区本駒込2丁目29番 6号,35.728362,139.7458,03-3944-1471,区立小学校,,
20,本郷小学校,Hongo Elementary School,113-0033,東京都文京区本郷4丁目5番15号,35.708093,139.758136,03-3813-7551,区立小学校,,
