大分類,小分類,名称,所在地,電話番号,情報,X座標,Y座標
小学校,小学校,田原小学校,雷門1丁目5番14号,03-3841-1656,,139.7931438,35.70995493
小学校,小学校,石浜小学校,清川1丁目14番21号,03-3875-0032,,139.8034727,35.72460431
小学校,小学校,蔵前小学校,蔵前4丁目19番11号,03-3851-1535,,139.7893167,35.70440296
小学校,小学校,東浅草小学校,東浅草2丁目27番19号,03-3875-0035,,139.7982423,35.72436357
小学校,小学校,台東育英小学校,浅草橋5丁目1番35号（令和5年12月まで仮校舎）,03-3851-3600,,139.7824695,35.69955528
小学校,小学校,松葉小学校,松が谷1丁目13番16号,03-3841-2627,,139.7864342,35.71222461
小学校,小学校,浅草小学校,花川戸1丁目14番15号,03-3841-1575,,139.7995229,35.71348473
小学校,小学校,千束小学校,浅草4丁目24番11号,03-3876-3717,,139.7939331,35.7189541
小学校,小学校,富士小学校,浅草4丁目48番9号,03-3874-9361,,139.7986528,35.71869435
小学校,小学校,忍岡小学校,池之端2丁目1番22号,03-3822-4661,,139.7669292,35.71401723
小学校,小学校,金竜小学校,千束1丁目9番9号,03-3871-9893,,139.7901734,35.71856409
小学校,小学校,上野小学校,東上野6丁目16番8号,03-3842-5356,,139.7836443,35.71381443
小学校,小学校,平成小学校,台東4丁目21番15号,03-3831-1530,,139.7801249,35.70639506
小学校,小学校,根岸小学校,根岸3丁目9番8号,03-3876-2411,,139.7787543,35.72347353
小学校,小学校,東泉小学校,三ノ輪1丁目23番9号,03-3876-2747,,139.7921925,35.728313
小学校,小学校,谷中小学校,谷中2丁目9番16号,03-3828-9218,,139.7653851,35.72386297
小学校,小学校,金曽木小学校,根岸4丁目16番22号,03-3876-3701,,139.7851837,35.72579353
小学校,小学校,黒門小学校,上野1丁目16番20号,03-3831-6039,,139.7710353,35.70688477
小学校,小学校,大正小学校,入谷2丁目23番8号,03-3876-5592,,139.7881735,35.72088386
中学校,中学校,柏葉中学校,下谷3丁目1番29号,03-3876-3341,,139.7860843,35.72375615
中学校,中学校,御徒町台東中学校,台東4丁目13番16号,03-3831-3787,,139.777325,35.70672496
中学校,中学校,浅草中学校,蔵前1丁目3番4号,03-3866-5169,,139.790085,35.69978596
中学校,中学校,駒形中学校,北上野2丁目15番1号,03-3844-2089,,139.784194,35.71750412
中学校,中学校,上野中学校,上野桜木1丁目14番55号,03-3828-5458,,139.7747646,35.72107359
中学校,中学校,桜橋中学校,今戸2丁目1番8号,03-3876-2277,,139.8069228,35.72060517
中学校,中学校,上野学園中学校（私立）,東上野4丁目24番12号,03-3842-1021,,139.7821543,35.71570423
高等学校,高等学校,東京藝術大学音楽学部附属音楽高校,上野公園12番地8,050-5525-2406,,139.7734647,35.72096357
高等学校,高等学校,蔵前工業高校,蔵前1丁目3番57号,03-3862-4488,,139.7912549,35.7004259
高等学校,高等学校,忍岡高校,浅草橋5丁目1番24号,03-3863-3131,,139.7827952,35.70067573
高等学校,高等学校,浅草高校,今戸1丁目8番13号,03-3874-3182,,139.8025487,35.71911967
高等学校,高等学校,白鴎高校,元浅草1丁目6番22号,03-3843-5678,,139.7830027,35.70814418
高等学校,高等学校,上野高校,上野公園10番地14,03-3821-3706,,139.769825,35.71863364
高等学校,高等学校,岩倉高校,上野7丁目8番8号,03-3841-3086,,139.7789046,35.7140343
高等学校,高等学校,上野学園高校,東上野4丁目24番12号,03-3842-1021,,139.7821443,35.71553424
大学,大学,東京藝術大学,上野公園12番地8,050-5525-2000,,139.7722648,35.72026359
大学,大学,上野学園大学,東上野4丁目24番12号,03-3842-1021,,139.7819643,35.71561423
中学校,中学校,白鴎高校附属中学校（都立）,元浅草3丁目12番12号,03-5830-1731,,139.7877145,35.70716513
中学校,中学校,忍岡中学校,上野公園18番20号,03-3828-7241,,139.7789953,35.7193024
