"名称","所在地","電話番号","緯度","経度"
"御成門中学校","東京都港区西新橋三丁目25番30号","03-3436-3568","35.661742","139.750385"
"三田中学校","東京都港区三田四丁目13番13号","03-5441-7348","35.645357","139.740831"
"高松中学校","東京都港区高輪一丁目16番25号","03-3441-6239","35.640627","139.734131"
"港南中学校","東京都港区港南四丁目3番3号","03-3471-0238","35.631301","139.749119"
"白金の丘学園　白金の丘中学校","東京都港区白金四丁目1番12号","03-3441-5361","35.6437","139.726835"
"六本木中学校","東京都港区六本木六丁目8番16号","03-3404-8855","35.660552","139.732184"
"高陵中学校","東京都港区西麻布四丁目14番8号","03-3409-7687","35.65703","139.720543"
"赤坂中学校","東京都港区南青山一丁目18番12号","03-3402-9306","35.667638","139.724864"
"青山中学校","東京都港区北青山一丁目1番9号","03-3404-7522","35.674389","139.722158"
"お台場学園　港陽中学校","東京都港区台場一丁目1番5号","03-5500-2575","35.634209","139.777132"

"中学校","Ver202104",,,
