名称,所在地,緯度,経度,電話
開進第四小学童クラブ,練馬区羽沢2-33-1,35.74823811,139.6720961,03-3994-3008
開進第四小第二学童クラブ,練馬区羽沢2-33-1,35.74805126,139.6716297,03-5984-1883
豊玉第二小学童クラブ,練馬区豊玉上2-16-1,35.73754522,139.6624666,03-3994-6764
豊玉南小学童クラブ,練馬区豊玉南2-14-1,35.72716197,139.655801,03-3993-0044
豊玉学童クラブ,練馬区豊玉南3-32-11,35.72944284,139.6492481,03-3991-2580
開進第二小学童クラブ,練馬区桜台5-10-5,35.7420706,139.6579564,03-3994-6814
開進第三小学童クラブ,練馬区桜台2-18-1,35.7428523,139.6662813,03-3993-2653
練馬第二小学童クラブ,練馬区貫井2-31-13,35.74161083,139.6336214,03-3999-1190
仲町小学童クラブ,練馬区氷川台2-18-24,35.75749701,139.6674848,03-3550-9539
開進第一小学童クラブ,練馬区早宮2-1-31,35.75504092,139.657972,03-3931-5482
早宮さくら学童クラブ,練馬区早宮3-13-31,35.75030462,139.6531984,03-3993-3153
練馬東小学童クラブ,練馬区春日町1-30-11,35.75252205,139.6482666,03-3970-0820
練馬小学童クラブ,練馬区春日町6-11-36,35.75178285,139.6361867,03-3970-8654
北町小学童クラブ,練馬区北町1-14-11,35.7653144,139.6645049,03-3550-8057
北町西小学童クラブ,練馬区北町7-3-8,35.76095155,139.654097,03-3931-5148
田柄小学童クラブ,練馬区田柄2-19-34,35.76529063,139.6435425,03-3975-5436
田柄小第二学童クラブ,練馬区田柄2-19-19,35.76640157,139.6436075,03-5998-7602
光が丘すずらん学童クラブ,練馬区光が丘2-7-6-102,35.76218485,139.6307389,03-3979-9320
光が丘しいのき学童クラブ,練馬区光が丘2-10-4-201,35.76085887,139.6299397,03-5998-3088
光が丘コスモス学童クラブ,練馬区光が丘3-3-4-105,35.7558839,139.6283918,03-3976-4575
光が丘どんぐり学童クラブ,練馬区光が丘3-8-12,35.75722683,139.6284956,03-3939-8568
光が丘すみれ学童クラブ,練馬区光が丘5-2-5-104,35.75983742,139.6272743,03-3976-8231
光が丘あさがお学童クラブ,練馬区光が丘5-5-5,35.76288099,139.6260383,03-3976-6345
光が丘つくし学童クラブ,練馬区光が丘7-3-4-101,35.75594154,139.6248509,03-3977-9168
旭町小学童クラブ,練馬区旭町2-29-1,35.77334794,139.6273201,03-3975-5438
富士見台小学童クラブ,練馬区富士見台4-16-10,35.74416196,139.6228424,03-3999-5355
南が丘小学童クラブ,練馬区南田中2-13-1,35.73411429,139.6169894,03-3995-7138
石神井東小学童クラブ,練馬区南田中3-9-1,35.73679864,139.6197149,03-3995-6561
谷原小学童クラブ,練馬区谷原2-9-26,35.75051463,139.6135571,03-3904-2605
北原小学童クラブ,練馬区谷原4-9-1,35.75551006,139.6142495,03-3904-5739
泉新小学童クラブ,練馬区三原台3-18-30,35.75379741,139.6017054,03-5387-0775
石神井町学童クラブ,練馬区石神井町8-1-10,35.74534102,139.6014606,03-3995-8424
石神井小学童クラブ,練馬区石神井台1-1-25,35.73541322,139.5997633,03-5393-1909
石神井小第二学童クラブ,練馬区石神井台1-1-25,35.73537849,139.5996601,03-3995-1565
石神井台小学童クラブ,練馬区石神井台8-6-33,35.73450314,139.5814593,03-3929-4926
石神井台けやき学童クラブ,練馬区石神井台6-2-10,35.74016135,139.5862454,03-3924-1882
上石神井小学童クラブ,練馬区上石神井4-10-4,35.72709718,139.5889697,03-3928-4640
関町北学童クラブ,練馬区関町北5-4-12,35.73252315,139.5746764,03-3929-3290
大泉東小学童クラブ,練馬区東大泉1-22-1,35.74812595,139.5911241,03-3923-9214
大泉東小第二学童クラブ,練馬区東大泉1-22-1,35.748034,139.5910284,03-3922-0672
大泉小学童クラブ,練馬区東大泉4-25-1,35.75183315,139.584325,03-3921-3639
大泉西小学童クラブ,練馬区西大泉4-25-1,35.76523717,139.5713484,03-3925-8755
大泉第六小学童クラブ,練馬区南大泉5-25-29,35.75119762,139.5721742,03-3978-0326
大泉第三小学童クラブ,練馬区大泉学園町3-22-2,35.76381592,139.579255,03-3921-7937
大泉学園緑小学童クラブ,練馬区大泉学園町5-11-37,35.76621261,139.5859493,03-3922-8662
早宮小学童クラブ,練馬区早宮4-10-17,35.75209797,139.6506932,03-5999-9531
向山小ねりっこ学童クラブ,練馬区向山2-14-11,35.74012894,139.6411175,03-3926-0958
