名称,所在地,緯度,経度,電話
光が丘ぴよぴよ（ひろば室）,練馬区光が丘5-2-5-105,35.75990041,139.6267944,03-3979-8101
西大泉ぴよぴよ,練馬区西大泉1-27-10,35.75456663,139.5713063,03-3978-8881
練馬ぴよぴよ（ひろば室）,練馬区豊玉北5-18-12,35.73704173,139.6543538,03-3993-8200
関ぴよぴよ,練馬区関町北1-21-15,35.72658744,139.5786593,03-5991-4711
貫井ぴよぴよ,練馬区貫井3-25-15,35.73721233,139.6273982,03-3577-9823
大泉ぴよぴよ,練馬区東大泉5-35-1,35.74746171,139.5898116,03-3925-6716
北大泉児童館ぴよぴよ,練馬区大泉町4-15-15,35.76279884,139.6002238,03-3921-4856
光が丘児童館ぴよぴよ,練馬区光が丘1-3-1,35.76764294,139.6390999,03-3975-7137
立野地区区民館ぴよぴよ,練馬区立野町15-42,35.71861768,139.5823075,03-3928-6217
田柄地区区民館ぴよぴよ,練馬区田柄3-28-13,35.7621941,139.6372434,03-3926-4934
春日町南地区区民館ぴよぴよ,練馬区春日町5-20-25,35.74772008,139.6385227,03-3926-4974
