名称,所在地,緯度,経度,電話
旭丘中学校,練馬区旭丘2-40-1,35.73782699,139.6776834,03-3957-3133
開進第四中学校,練馬区羽沢3-24-1,35.75096779,139.6734492,03-3993-1481
豊玉中学校,練馬区豊玉南2-1-20,35.7292554,139.6576551,03-3994-1451
豊玉第二中学校,練馬区豊玉北2-24-5,35.73502218,139.6644186,03-3993-4212
中村中学校,練馬区中村南1-32-21,35.72825892,139.645294,03-3990-4436
開進第三中学校,練馬区桜台3-28ｰ1,35.74511387,139.6652202,03-3993-4266
開進第二中学校,練馬区練馬2-27-28,35.74312343,139.6526824,03-3993-1348
貫井中学校,練馬区貫井2-14-13,35.7395055,139.6329056,03-3990-6412
開進第一中学校,練馬区早宮1-16-50,35.75255192,139.6590965,03-3993-2417
練馬東中学校,練馬区春日町2-14-22,35.75668766,139.6473744,03-3998-0231
練馬中学校,練馬区高松1-24-1,35.74758514,139.634767,03-3990-5451
北町中学校,練馬区北町3-1-34,35.76728437,139.6565089,03-3932-7231
田柄中学校,練馬区田柄3-3-1,35.75950288,139.6411313,03-3990-4403
光が丘第四中学校,練馬区光が丘2-5-1,35.76157746,139.6332883,03-3976-5891
光が丘第三中学校,練馬区光が丘3-2-1,35.75545213,139.6315783,03-3977-3521
光が丘第一中学校,練馬区光が丘6-5-1,35.76037463,139.6220791,03-3976-5871
光が丘第二中学校,練馬区光が丘7-1-1,35.75454943,139.6255485,03-3976-9202
豊溪中学校,練馬区旭町3-5-10,35.77406833,139.6280741,03-3939-0245
八坂中学校,練馬区土支田4-47-21,35.76958193,139.6119711,03-3924-0399
南が丘中学校,練馬区南田中4-8-23,35.7339791,139.6127754,03-3904-5782
石神井東中学校,練馬区高野台1-8-34,35.74245359,139.616585,03-3996-2157
谷原中学校,練馬区谷原4-10-5,35.75491417,139.6150945,03-3995-8036
三原台中学校,練馬区三原台3-13-41,35.75457093,139.5996896,03-3925-9564
石神井中学校,練馬区石神井台1-32-1,35.74115709,139.5955958,03-3997-3131
石神井南中学校,練馬区下石神井2-7-23,35.73045882,139.6090176,03-3997-3315
大泉中学校,練馬区東大泉4-27-35,35.75306259,139.5850595,03-3924-0771
大泉第二中学校,練馬区東大泉6-21-1,35.74467218,139.5837008,03-3922-0165
大泉西中学校,練馬区西大泉3-19-27,35.75843301,139.5796347,03-3921-7101
大泉北中学校,練馬区大泉町5-4-32,35.75958772,139.5964188,03-3925-9230
大泉学園中学校,練馬区大泉学園町4-17-32,35.7666241,139.5897988,03-3925-4492
大泉学園桜中学校,練馬区大泉学園町9-2-1,35.77741781,139.5912604,03-3924-1126
関中学校,練馬区関町北4-34-23,35.73084548,139.5752341,03-3929-0048
石神井西中学校,練馬区関町南3-10-3,35.72051459,139.5805784,03-3920-1034
上石神井中学校,練馬区上石神井4-15-27,35.72844099,139.5876278,03-3920-1126
